Run_Date,Source_Date,Update_Time,NE_Actual,NE_Dev_Norm,NE_Dev_Year,NE_Seas_Total,MA_Actual,MA_Dev_Norm,MA_Dev_Year,MA_Seas_Total,MW_Actual,MW_Dev_Norm,MW_Dev_Year,MW_Seas_Total,US_Actual,US_Dev_Norm,US_Dev_Year,US_Seas_Total
2026-01-15,2026-01-10,2026-01-15 16:03:08,246,-25,-41,2767,208,-50,-75,2492,196,-98,-126,2713,161,-64,-86,1955
2026-01-16,2026-01-10,2026-01-16 15:56:22,246,-25,-41,2767,208,-50,-75,2492,196,-98,-126,2713,161,-64,-86,1955
2026-01-17,2026-01-10,2026-01-17 15:51:36,246,-25,-41,2767,208,-50,-75,2492,196,-98,-126,2713,161,-64,-86,1955
2026-01-18,2026-01-10,2026-01-18 15:51:38,246,-25,-41,2767,208,-50,-75,2492,196,-98,-126,2713,161,-64,-86,1955
2026-01-19,2026-01-17,2026-01-19 15:57:57,217,-58,-59,2985,223,-39,-43,2715,260,-37,-44,2973,190,-36,-42,2145
2026-01-20,2026-01-17,2026-01-20 16:03:11,217,-58,-59,2985,223,-39,-43,2715,260,-37,-44,2973,190,-36,-42,2145
2026-01-21,2026-01-17,2026-01-21 16:06:06,217,-58,-59,2985,223,-39,-43,2715,260,-37,-44,2973,190,-36,-42,2145
2026-01-23,2026-01-17,2026-01-23 15:59:22,217,-58,-59,2985,223,-39,-43,2715,260,-37,-44,2973,190,-36,-42,2145
2026-01-24,2026-01-17,2026-01-24 15:51:59,217,-58,-59,2985,223,-39,-43,2715,260,-37,-44,2973,190,-36,-42,2145
2026-01-25,2026-01-17,2026-01-25 15:52:11,217,-58,-59,2985,223,-39,-43,2715,260,-37,-44,2973,190,-36,-42,2145
